license,breed,color,name,zip,expiry,created_at,updated_at
Dog Senior Lifetime Neutered Male,BICHON FRISE,WHITE,PRINCE,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,BABY,15241,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Senior Lifetime Male,MALTESE,WHITE,TOBY,15108,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BLACK/BROWN,CASHEW,15025,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GORDON SETTER,BLACK/BROWN,BART,15238,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,MIXED,BLONDE,LULA,15238,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,SHETLAND SHEEPDOG,SABLE,JAKE,15101,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK/BROWN,TESS,15102,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LAB MIX,BLACK,ROONEY,15229,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Male,ENG BULLDOG,RED,OXFORD,15106,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,ANGEL,15235,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK,TIPPER,15235,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,RHODESIAN RIDGEBACK,BROWN,TSAUO,15044,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,TUCKER,15144,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LAB MIX,BLACK,IZZY,15137,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,PARSON RUSSELL TERR,WHITE/BLACK,HARLEE,15143,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/TAN,ZOEY,15132,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,AM STAFF TERRIER,RED/BROWN,HALEY,15144,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,PARKER,15145,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,BROWN,KATIE,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Male,COCKER SPANIEL,WHITE/BLACK,HEINZ,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GOLDENDOODLE,TAN,SCOUT,15135,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,TERRIER MIX,BLACK/BROWN,DOC,15024,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,PUG,BLACK,SADIE,15132,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GER SHORTHAIR POINT,SPOTTED,DAGGER,15101,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,MOLLY,15137,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,MAX,15137,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,BRIE,15229,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,AM ESKIMO DOG,WHITE,KODY,15220,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Male,BOXER,BROWN,BETTIS,15237,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK/BROWN,MAXWELL,15234,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,ENG SPRINGER SPANIE,SPOTTED,MANDY,15215,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,TAG,WHITE/BLACK/BROWN,TESSA,15216,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,GER SHEPHERD MIX,WHITE/BLACK,JAKE,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,CHIHUAHUA,WHITE/BLACK,DAISY MAE,15146,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,BOXER,BROWN,LACY,15122,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,POMERANIAN,SABLE,FOZZIE BEAR,15227,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,AM ESKIMO DOG,WHITE,ISIS,15205,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,AM ESKIMO DOG,WHITE,CRYSTAL,15205,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,BEAGLE,WHITE/BLACK/BROWN,LUCY,15037,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,TAG,WHITE/TAN,DYLAN,15108,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Neutered Male,NORW ELKHOUND,BLACK/LIVER,JAKE BRONOWICZ,15101,2099,8/12/2023 12:42,8/12/2023 12:42
Dog Lifetime Spayed Female,BEAGLE,SPOTTED,LACY,15239,2099,8/12/2023 12:42,8/12/2023 12:42
